TPSA MW FC BJ
72.53 384.48 0.5238 1.5195
58.81 419.52 0.3600 1.3521
71.41 405.56 0.6667 1.9313
51.66 470.49 0.3077 1.5731
27.69 427.33 0.1667 1.2458
84.94 466.99 0.4091 1.4848
73.51 356.43 0.4211 1.9271
49.77 393.87 0.1739 1.7062
69.15 393.24 0.1765 1.8916
64.36 413.26 0.0476 1.5951
81.01 400.48 0.4545 1.6017
96.01 365.42 0.1111 1.4512
46.61 320.14 0.2857 1.7434
66.91 356.50 0.5263 1.5082
54.88 307.74 0.0000 2.0021
79.46 405.43 0.1304 1.8249
55.40 311.38 0.2632 1.7134
46.17 314.26 0.4000 2.3661
65.94 316.41 0.3000 2.0351
97.94 449.56 0.5417 1.3563
57.70 437.01 0.5238 1.4742
44.89 271.15 0.2500 1.9763
73.34 321.40 0.4000 2.1585
70.69 434.54 0.4400 1.2252
41.57 290.41 0.5882 1.8400
83.13 415.44 0.4444 1.8045
78.92 363.44 0.2500 1.6972
80.87 378.82 0.1579 1.5288
57.42 355.49 0.5000 1.6660
56.79 339.27 0.1875 1.8434
46.09 287.75 0.2667 1.8111
94.91 379.41 0.2273 1.9973
62.22 292.34 0.1111 2.1653
117.05 329.31 0.1250 1.9031
66.48 336.46 0.5882 1.5224
28.74 306.34 0.1053 1.7333
53.08 345.40 0.1429 1.8781
98.98 424.50 0.3333 1.9372
51.66 371.62 0.2857 1.9439
35.50 360.50 0.4167 1.4495
56.15 303.39 0.3333 1.7745
61.69 254.29 0.0667 1.8887
66.48 394.50 0.2273 1.6553
39.44 342.13 0.1538 2.6576
79.90 390.37 0.2105 1.7190
29.54 332.27 0.5625 2.4117
98.49 380.49 0.3529 2.0042
57.12 367.43 0.1000 1.9134
56.79 391.89 0.3810 1.8806
118.41 411.44 0.0500 1.7037
107.35 452.61 0.4091 1.4000
45.23 341.48 0.4737 1.7509
105.32 355.38 0.0588 1.7504
67.43 374.44 0.1304 1.4211
65.08 281.25 0.0000 2.0667
81.93 383.48 0.2632 1.6935
84.50 404.53 0.3810 2.1901
51.96 360.87 0.1667 1.8158
47.56 348.20 0.1875 1.6949
97.31 376.42 0.2000 1.5824
50.69 316.38 0.4444 1.4110
42.24 299.76 0.1176 1.7721
74.77 464.59 0.4000 1.1234
41.99 334.80 0.1250 1.8980
21.26 247.38 0.6250 1.8117
57.61 359.43 0.2174 1.7163
106.39 356.38 0.3333 1.7392
103.78 332.34 0.0667 1.8116
66.15 376.43 0.4500 1.6881
20.31 273.71 0.4615 2.2430
96.97 385.35 0.1053 1.8988
107.29 389.46 0.6111 1.9092
52.49 370.52 0.5000 1.5662
51.02 491.50 0.6087 1.4594
60.89 482.58 0.2667 1.6433
63.69 403.48 0.2500 1.4914
99.37 402.84 0.2632 1.5509
89.35 425.53 0.5789 1.7534
83.55 382.80 0.1250 1.9390
56.51 336.81 0.4444 2.3779
78.95 437.95 0.3500 1.5986
109.62 411.44 0.0500 2.0019
47.36 365.48 0.5455 1.4029
74.09 480.57 0.1724 1.8366
78.51 415.47 0.0435 1.4168
55.40 319.43 0.2941 1.9677
56.79 347.80 0.2778 2.2799
81.70 321.35 0.1333 2.2470
20.31 283.44 0.3333 2.1255
66.48 346.45 0.2778 2.1868
70.40 356.47 0.5000 1.4393
110.08 352.39 0.3684 1.7783
64.63 417.91 0.2381 1.5774
41.13 355.29 0.1875 1.6055
38.82 441.02 0.4800 1.2252
69.67 481.77 0.3182 2.6021
67.67 382.46 0.4762 1.6450
66.40 386.40 0.3750 1.7488
76.15 425.28 0.3889 2.4058
81.47 300.31 0.1875 1.7373
55.13 418.50 0.0714 1.4351
38.92 268.29 0.1250 1.6913
82.18 360.44 0.3529 1.6767
76.38 406.49 0.3636 1.3085
66.48 418.53 0.4091 1.8596
101.15 361.42 0.2941 1.9077
63.25 476.42 0.1500 1.6163
43.60 250.31 0.1333 1.9477
37.81 267.36 0.0667 1.8020
128.08 411.37 0.1500 2.1384
51.22 417.33 0.1579 1.6193
85.37 404.88 0.1667 1.5435
61.88 377.44 0.3333 1.4990
40.62 385.32 0.2941 1.6837
100.78 449.96 0.3333 1.8939
66.92 340.44 0.5625 2.3806
83.54 397.41 0.3000 1.9010
92.34 360.44 0.2222 2.1417
44.70 325.44 0.2222 1.8811
29.10 336.25 0.2667 1.8965
78.95 369.49 0.5882 1.8969
36.15 405.34 0.3043 1.8300
56.38 414.12 0.1429 2.4543
41.13 246.34 0.1538 1.7115
81.70 369.42 0.2857 1.7245
49.74 363.51 0.5455 1.3576
37.38 371.89 0.1000 2.0897
64.55 367.43 0.2105 1.6005
95.12 366.43 0.4211 1.5786
80.57 410.50 0.2727 1.5946
50.16 342.42 0.3684 1.5447
51.22 413.31 0.2381 2.0788
71.45 370.36 0.1000 1.6857
84.22 403.46 0.0455 1.5610
39.85 356.51 0.5455 1.7021
72.20 220.23 0.3636 2.1064
57.69 334.80 0.4615 2.0001
78.43 326.40 0.2632 1.8652
82.96 380.79 0.1579 1.9505
72.46 327.72 0.0588 1.9782
62.70 269.30 0.0000 2.2334
67.43 370.84 0.2000 1.7755
51.16 280.30 0.1176 1.9768
73.24 294.35 0.5333 2.1687
89.70 334.40 0.1875 2.6153
51.24 368.43 0.3810 1.2678
67.26 424.50 0.1481 1.4508
41.13 348.47 0.0952 1.5855
81.39 463.58 0.4231 1.4894
81.18 357.41 0.2632 1.9696
105.14 444.92 0.4286 1.3432
87.46 354.41 0.4211 1.3351
51.54 436.56 0.2609 1.9113
90.39 384.39 0.0455 1.8887
47.56 275.35 0.5625 1.6672
59.59 428.46 0.1923 1.4476
79.62 360.50 0.6667 1.6131
47.71 342.45 0.2273 1.6524
89.35 491.62 0.4615 1.2241
61.44 393.51 0.2727 1.6136
29.10 332.59 0.0714 2.0814
63.41 350.42 0.3000 1.4968
57.38 310.35 0.2222 1.7012
69.29 410.28 0.1176 1.8354
73.85 410.54 0.3636 1.7992
73.69 310.19 0.1538 2.0836
75.95 355.19 0.0588 2.3911
75.71 421.28 0.1875 2.2165
37.38 253.37 0.5385 2.3173
71.84 291.28 0.7273 1.8579
71.41 445.56 0.3704 1.6254
136.97 344.28 0.0667 2.0710
72.91 403.43 0.2917 1.3087
55.40 325.82 0.2000 1.8462
100.28 407.48 0.3810 1.2529
103.15 273.30 0.1538 2.0365
54.45 345.39 0.1667 2.0530
72.43 321.13 0.0833 1.7740
42.96 308.42 0.6471 1.6828
58.87 378.48 0.3636 1.4906
87.47 370.45 0.4500 1.6231
43.78 334.49 0.6111 1.6680
49.57 263.32 0.0000 2.0785
43.38 360.87 0.1667 1.8671
55.63 315.79 0.0714 1.8033
99.66 330.39 0.4118 2.1712
75.43 373.43 0.4500 1.8831
22.00 268.14 0.1538 2.6350
36.28 232.28 0.3077 1.7385
43.86 363.89 0.5789 1.5249
76.07 301.30 0.3750 1.7980
58.56 346.82 0.3529 1.5454
46.84 383.39 0.2941 1.9412
62.39 460.81 0.2632 2.0398
33.02 352.65 0.1176 2.4095
71.01 401.50 0.1818 1.3166
46.61 259.31 0.4667 2.3293
33.73 342.46 0.2105 2.1262
77.92 334.38 0.1429 2.1173
67.87 203.20 0.1000 2.4117
55.13 399.27 0.0000 1.5466
111.89 337.40 0.3333 2.1217
85.75 385.54 0.5789 1.4450
65.06 339.40 0.3889 2.0507
84.50 334.40 0.1875 1.9442
58.64 400.91 0.3636 1.7978
95.06 359.41 0.2500 2.0602
119.20 327.35 0.4286 1.6167
93.53 470.60 0.5833 1.3631
78.00 397.47 0.5556 1.5618
35.58 327.40 0.3158 1.5480
53.99 364.40 0.1364 1.7030
86.74 429.46 0.0435 1.3500
58.20 260.32 0.1538 1.9761
56.49 339.45 0.1250 1.5427
36.67 395.53 0.4783 1.8924
36.44 361.56 0.7000 1.5220
68.54 305.72 0.0667 2.2394
81.87 386.45 0.4762 1.8736
33.53 370.54 0.5909 1.4542
105.49 422.89 0.3684 2.5143
55.61 306.41 0.6471 1.6161
80.07 413.20 0.0000 1.9901
59.81 422.46 0.0455 1.5838
89.99 421.52 0.4500 2.3478
39.19 370.25 0.1579 2.0211
106.14 404.47 0.2727 1.6563
80.52 334.40 0.2500 2.5988
77.88 363.42 0.2500 1.6650
69.04 350.42 0.2500 1.9461
105.67 302.29 0.1429 2.0996
72.39 373.48 0.4737 1.7787
55.97 358.22 0.0000 1.8479
49.41 392.20 0.1250 1.7884
64.36 308.34 0.2222 1.5880
63.05 369.51 0.5714 1.2883
88.33 388.47 0.2941 1.4943
104.07 432.50 0.3500 1.5680
80.47 338.82 0.1333 2.3924
67.43 478.59 0.1613 1.4628
113.54 427.48 0.1905 1.6082
109.77 487.50 0.3636 2.5539
58.28 249.36 0.6923 2.1343
25.36 242.32 0.2667 1.7071
56.15 407.49 0.3333 1.5838
109.16 341.33 0.1250 1.9515
36.69 337.22 0.4000 1.9341
52.65 323.82 0.5000 2.0745
84.94 454.55 0.2083 2.0322
78.51 343.77 0.1176 2.0266
67.43 326.40 0.2632 1.9677
41.13 274.75 0.1333 2.0715
29.10 243.28 0.1333 2.2699
75.02 386.45 0.1739 1.5033
21.26 225.29 0.2000 2.1133
71.45 467.57 0.2857 1.3606
62.47 354.45 0.5500 1.4141
58.64 336.39 0.2500 1.7308
91.29 345.74 0.1250 1.7966
64.93 221.26 0.2727 2.5805
36.67 347.47 0.4286 1.3672
57.01 406.29 0.1667 1.6468
63.47 327.41 0.2353 2.1179
67.35 470.62 0.4138 1.3023
39.16 201.27 0.2308 2.2821
38.77 295.34 0.1667 1.7506
97.12 350.81 0.3750 1.9045
81.27 328.37 0.4118 1.5237
52.83 348.43 0.1053 1.6141
41.99 270.38 0.6471 1.5794
77.19 360.41 0.5263 1.5895
109.62 437.90 0.3158 1.7417
56.79 394.26 0.2778 1.9864
59.08 320.39 0.5294 1.8842
71.19 442.97 0.2174 1.5995
65.46 339.44 0.4000 1.6957
115.73 404.42 0.0870 1.7575
87.74 479.89 0.0800 1.3291
66.61 340.38 0.2632 1.7968
39.94 249.34 0.3333 1.9952
30.49 305.81 0.2941 1.8715
60.40 374.22 0.0000 1.8381
66.48 417.71 0.1333 2.1604
64.43 345.42 0.4706 1.5587
39.68 446.52 0.5000 1.2363
58.12 338.45 0.4500 1.6948
35.58 417.35 0.3158 1.6040
79.92 372.43 0.4737 1.4571
78.51 307.44 0.7500 1.8921
75.71 366.46 0.3125 1.7870
80.37 410.45 0.3182 1.4202
49.77 339.44 0.3810 2.0247
64.31 385.49 0.2500 2.2025
58.20 427.33 0.1304 1.6775
61.07 304.38 0.0000 1.6534
63.25 423.94 0.3333 1.5167
42.01 439.74 0.3158 1.5332
56.15 307.35 0.1111 1.5876
29.10 235.28 0.0833 1.9819
85.13 397.43 0.0833 1.7918
64.32 230.28 0.3636 2.1797
55.84 435.97 0.4545 1.7135
79.79 309.32 0.1176 1.8132
29.54 420.35 0.1111 1.9861
58.64 408.54 0.5200 1.5381
84.86 329.35 0.2222 1.9055
73.47 436.89 0.1667 1.7151
77.02 331.37 0.2778 2.3625
75.71 457.38 0.3500 1.5849
95.94 348.45 0.6154 2.1504
51.02 306.37 0.1667 1.9240
59.06 342.80 0.0000 1.9472
84.94 440.52 0.1739 1.7602
82.00 351.39 0.0556 1.6906
58.20 301.15 0.0000 2.4037
71.33 405.55 0.5556 1.6110
74.97 368.38 0.2381 1.8350
66.92 448.91 0.1600 1.6754
61.77 441.11 0.1176 1.9487
33.20 314.39 0.1429 1.7029
59.59 346.47 0.5500 2.1760
32.78 274.36 0.4375 1.8372
98.39 432.48 0.2083 1.3479
64.28 336.39 0.3158 1.3724
114.78 434.50 0.1579 1.8917
87.30 391.83 0.2105 2.0784
41.99 428.36 0.0435 1.8697
109.62 391.45 0.2778 2.3349
130.39 422.46 0.0000 1.9247
85.13 323.76 0.0769 1.8917
94.49 356.38 0.4444 1.5958
102.01 487.31 0.1818 1.8974
68.24 335.44 0.1111 1.6976
62.55 428.87 0.0476 1.4789
50.80 408.54 0.4800 1.3470
76.88 392.53 0.2500 1.8552
102.45 290.27 0.2857 2.5440
56.84 307.42 0.5000 1.6135
55.24 402.26 0.2857 1.8403
36.66 373.50 0.3043 1.3847
52.65 446.37 0.2500 1.6618
71.11 314.37 0.2667 1.8759
61.19 332.43 0.4706 2.0079
97.16 428.21 0.0000 2.0704
40.62 266.38 0.7333 2.5725
61.07 370.41 0.0870 1.9258
54.04 354.48 0.3684 1.5224
45.48 316.41 0.0667 1.8053
58.41 271.75 0.5000 2.6416
32.34 356.29 0.2353 1.9697
93.73 404.49 0.3500 1.6151
74.56 308.35 0.2500 1.5509
49.33 324.43 0.4211 1.8148
62.71 362.41 0.1429 1.4388
41.13 262.26 0.0714 1.8428
75.11 265.34 0.4167 2.4913
94.09 497.98 0.3333 1.7749
26.30 268.36 0.2778 2.0603
113.09 479.58 0.3810 1.4734
91.49 330.39 0.4706 1.5428
62.70 368.43 0.3333 1.4142
62.32 417.55 0.6522 1.7575
38.33 310.18 0.1333 2.0038
71.11 364.45 0.3810 1.8176
77.55 410.87 0.3000 1.5134
58.98 366.44 0.3333 2.1746
81.80 346.70 0.0000 1.9762
73.99 355.48 0.5238 1.7452
60.45 318.40 0.3750 1.8169
54.26 429.57 0.4231 1.3375
96.55 358.40 0.3889 1.5567
66.81 329.38 0.3529 1.7752
79.37 360.42 0.0952 1.5847
85.99 338.37 0.3333 2.0964
103.78 352.35 0.1579 1.7153
134.06 358.31 0.2000 1.8709
79.46 305.38 0.5000 1.7611
52.23 379.29 0.4444 1.5987
81.91 493.65 0.6071 1.3934
92.47 256.28 0.3000 2.4563
99.53 477.55 0.1667 1.4857
32.34 393.71 0.2778 1.8740
66.48 352.50 0.6111 1.9683
48.65 337.30 0.2500 2.2344
66.06 343.45 0.2778 1.6877
85.61 311.36 0.3571 2.5789
57.38 288.33 0.1429 1.6314
109.62 375.41 0.2353 1.8772
63.41 364.45 0.3333 1.6075
74.97 495.32 0.1200 1.7150
85.85 498.03 0.4615 1.5120
83.47 361.46 0.3158 2.2099
42.43 320.39 0.2000 1.5169
88.12 422.89 0.3333 2.1760
77.10 370.40 0.3000 1.7777
104.11 359.41 0.3750 1.4336
36.85 312.39 0.2778 1.7004
75.71 388.49 0.3500 1.9062
29.10 371.61 0.0714 2.2122
126.65 461.88 0.1500 1.6683
37.19 427.53 0.2308 1.3837
65.98 488.56 0.3214 1.3666
46.17 203.29 0.4286 2.1997
72.80 463.49 0.1250 1.5362
77.52 366.83 0.1875 1.9038
73.72 409.23 0.1250 1.8033
67.43 274.32 0.3333 2.4710
67.87 368.43 0.3333 1.7247
84.20 335.32 0.0556 1.8882
39.68 382.48 0.4545 1.3153
27.69 292.76 0.2500 1.7305
84.73 360.42 0.2000 1.7533
60.25 372.43 0.1364 1.8429
89.07 342.21 0.0833 1.9031
70.23 393.87 0.0909 1.6969
63.47 297.29 0.0625 1.9745
47.33 438.62 0.6800 1.3113
62.22 366.85 0.1429 1.7987
46.17 197.26 0.3333 2.2317
81.42 344.39 0.1176 2.0951
30.49 223.32 0.5385 2.2125
68.54 381.40 0.2727 1.4962
77.25 409.44 0.0800 1.5031
45.67 393.53 0.5000 1.2536
39.44 278.31 0.0556 2.0914
55.89 428.62 0.6800 1.4413
44.12 250.69 0.1667 2.5762
67.43 312.37 0.2222 1.9327
50.16 440.95 0.3333 1.3463
29.10 219.26 0.3077 2.0476
102.20 400.46 0.1579 1.8810
80.34 403.48 0.6190 1.3947
37.38 275.37 0.2000 2.3911
60.45 386.45 0.2500 1.7317
74.25 366.47 0.5000 1.3056
66.69 359.81 0.2778 1.5706
77.44 450.56 0.3333 1.8021
48.99 391.47 0.1818 1.6314
115.48 390.40 0.2353 1.7672
45.23 357.88 0.4000 1.4422
51.02 272.35 0.5333 1.9433
74.76 406.89 0.2632 1.9327
36.36 256.35 0.4375 1.7029
57.01 355.40 0.0455 1.6728
84.22 466.49 0.3500 1.4830
91.15 378.44 0.4000 1.3203
68.46 383.83 0.1500 1.7877
75.02 403.52 0.7273 1.4147
60.45 264.31 0.1667 1.8488
53.74 329.45 0.6111 1.8131
79.46 405.91 0.2105 1.9364
82.33 355.39 0.3158 2.4322
55.20 361.51 0.5263 1.8818
44.81 351.88 0.6111 1.6648
88.18 385.49 0.5882 2.1937
84.67 389.43 0.4500 1.4727
63.68 339.80 0.1333 2.4831
99.58 319.32 0.1111 2.1740
88.16 419.57 0.4000 1.4849
115.04 273.25 0.0000 2.0791
94.92 355.39 0.3684 1.6256
67.87 358.37 0.2632 1.9277
42.76 474.65 0.4828 1.1468
66.49 211.23 0.0000 2.0365
51.24 346.43 0.6316 1.3001
43.37 419.27 0.0435 1.6415
110.28 446.49 0.0000 1.4784
86.69 289.34 0.4286 1.7494
67.76 465.76 0.1053 1.6688
95.50 412.44 0.0000 1.8302
41.57 440.53 0.4231 1.2235
54.79 357.41 0.1364 1.8312
41.57 341.25 0.5333 1.9951
77.63 422.53 0.4583 1.6204
89.35 461.57 0.3846 1.5754
49.33 308.16 0.0000 2.0583
82.61 348.43 0.2500 2.1224
57.90 386.83 0.2857 1.6504
92.08 292.26 0.5455 2.8942
66.35 341.36 0.2632 1.7839
82.45 323.31 0.1176 1.7374
29.10 389.32 0.1176 1.9951
117.39 450.50 0.0000 1.4852
81.15 273.32 0.0769 1.8313
76.62 263.26 0.0000 1.8379
32.78 304.43 0.6111 1.7637
29.54 245.32 0.4000 1.9047
59.59 314.38 0.2778 1.9416
35.58 441.57 0.5000 1.1150
75.71 499.80 0.0952 1.9601
28.48 423.54 0.0769 1.5684
33.09 316.42 0.5000 1.5887
50.16 304.44 0.7647 1.4429
85.95 325.35 0.1176 1.9870
105.98 383.43 0.1667 1.6257
55.57 392.50 0.4167 1.4180
41.37 384.48 0.3333 1.3237
69.14 362.47 0.6842 1.4900
51.13 384.86 0.2381 2.0442
72.73 304.33 0.1429 1.5666
69.48 392.46 0.3182 1.2796
56.03 350.20 0.1250 1.9650
59.31 255.27 0.0909 2.1402
62.39 315.42 0.5556 1.9110
41.13 288.44 0.6111 2.0968
55.98 398.55 0.6087 1.2994
97.82 455.47 0.1481 1.5287
29.54 402.37 0.4118 1.9172
65.74 403.23 0.1579 1.8074
86.11 428.49 0.2381 1.4916
86.75 398.44 0.1500 2.0452
67.43 312.37 0.2222 1.8880
85.97 340.33 0.1579 1.9889
51.14 258.32 0.3571 2.5295
72.91 317.32 0.1333 1.7118
84.94 447.34 0.2778 2.1716
21.70 299.84 0.6250 2.2498
97.03 344.42 0.5882 1.5071
72.47 347.44 0.2778 2.4124
43.78 358.53 0.6818 1.6260
101.30 453.56 0.3333 1.3813
113.94 396.43 0.1667 1.3644
53.62 426.95 0.3478 1.3951
52.89 262.31 0.1765 1.6892
90.98 488.65 0.4800 1.9486
80.20 421.47 0.2083 1.8403
60.33 362.43 0.2727 1.5326
71.26 288.35 0.4000 2.0686
82.27 245.24 0.0833 2.3452
107.37 497.62 0.3600 1.6687
60.36 390.50 0.5000 1.7634
66.81 339.44 0.4211 1.7495
71.11 387.48 0.4286 2.1499
65.20 397.56 0.7500 1.2611
50.70 282.73 0.0000 1.8626
89.64 391.43 0.1818 1.9540
82.49 407.47 0.3636 1.4635
70.59 447.58 0.4231 1.4042
38.33 329.40 0.1364 1.6843
66.40 339.82 0.0000 2.1604
76.46 368.44 0.4500 1.3536
55.99 376.84 0.1667 1.4696
110.77 451.53 0.4348 1.3300
42.16 227.33 0.8000 1.8576
58.98 362.48 0.3636 2.2345
50.27 336.48 0.4375 1.8464
29.10 266.13 0.0000 2.1405
80.90 346.80 0.0667 2.1353
55.96 315.79 0.0000 1.9759
24.94 396.57 0.5200 1.5105
67.43 393.26 0.0625 2.0840
54.88 315.42 0.1333 1.6145
44.73 354.49 0.4545 1.6325
38.33 299.80 0.1667 2.2793
75.46 347.42 0.5882 2.2825
68.52 446.82 0.0952 1.7829
84.61 473.96 0.2692 1.3422
59.19 235.29 0.4167 2.3696
82.14 416.25 0.2667 2.3203
127.82 331.38 0.4000 2.0749
72.64 378.49 0.5263 1.6499
57.78 367.86 0.0526 1.4791
21.26 331.46 0.2174 1.7843
74.77 360.46 0.6316 1.5657
84.06 339.45 0.5556 1.6082
35.58 429.59 0.2308 1.4138
83.99 498.57 0.4545 1.6277
37.38 242.06 0.0000 2.4418
73.80 434.95 0.0870 1.6056
63.25 299.37 0.2941 1.7363
56.15 402.65 0.3333 1.7412
65.54 378.88 0.3529 1.6502
35.58 343.86 0.3158 1.5895
100.01 372.45 0.2778 2.0087
29.10 370.22 0.1053 2.0105
32.70 305.46 0.6842 2.4083
49.58 335.41 0.3000 1.5121
58.29 411.51 0.2400 1.2406
68.29 308.33 0.2143 2.2653
76.66 418.49 0.2000 1.4071
45.23 269.35 0.3750 1.8659
89.02 403.44 0.2105 1.7247
113.85 345.38 0.4000 1.7418
71.78 342.39 0.3684 1.5979
60.66 450.95 0.1250 1.8771
72.37 325.37 0.2778 1.8373
38.05 264.33 0.1176 2.0756
66.92 372.46 0.5714 1.5970
78.27 472.57 0.1154 1.3893
60.93 399.54 0.6087 1.4436
49.85 308.35 0.5000 2.4354
61.19 420.53 0.2917 1.9481
42.99 351.84 0.1500 1.6587
48.31 311.38 0.2778 1.8935
76.24 287.32 0.3333 1.6267
60.03 424.54 0.4800 1.2021
54.88 213.24 0.0833 2.1105
76.82 266.30 0.0667 1.9282
67.90 416.55 0.5500 1.5593
46.17 282.19 0.4000 2.8442
67.43 340.42 0.3000 1.8919
51.02 400.88 0.2857 1.7369
61.97 421.54 0.4000 1.2829
52.41 404.51 0.4167 1.2012
68.29 324.38 0.2105 2.1745
98.48 310.31 0.1765 2.2916
50.16 402.54 0.3600 1.3922
122.76 443.84 0.2857 1.6237
55.56 358.51 0.4500 1.7751
34.47 392.47 0.3750 1.6015
56.14 415.52 0.1667 1.2873
98.54 266.25 0.3333 2.3961
67.06 250.31 0.0667 1.9116
66.91 338.80 0.0556 1.6570
59.81 492.39 0.2500 1.7100
47.04 327.33 0.1111 1.6837
59.06 268.36 0.1818 2.2767
42.52 356.37 0.1875 2.1494
58.76 375.20 0.0625 1.8188
64.43 455.61 0.4348 1.5575
68.23 391.85 0.3500 1.8014
72.22 418.54 0.5909 1.5233
41.99 482.35 0.0000 1.5736
61.88 387.87 0.3000 1.9159
60.93 455.99 0.4000 1.8400
66.23 425.53 0.5000 1.4329
69.68 336.41 0.3750 2.3610
35.91 291.35 0.2222 1.6474
100.44 391.43 0.1364 1.6279
94.17 488.54 0.2083 1.9855
38.33 283.37 0.2778 1.7245
55.24 416.28 0.3333 1.7457
73.86 441.22 0.1765 2.4594
39.60 359.54 0.5500 1.5139
135.92 391.36 0.1250 1.8446
52.60 326.80 0.2000 2.4052
76.66 326.35 0.2222 1.6751
32.34 290.36 0.2667 1.8604
64.85 365.46 0.2000 1.7723
98.74 361.44 0.5263 1.6661
54.98 290.39 0.3333 1.8385
55.81 456.59 0.3704 1.2202
85.94 231.30 0.4286 2.7429
59.23 369.85 0.2500 1.8329
55.20 413.59 0.5217 1.8680
60.33 430.98 0.5000 1.8977
48.99 321.83 0.3333 1.8467
98.54 370.39 0.0000 1.7228
50.36 256.31 0.1333 2.0060
76.66 425.31 0.3000 1.6060
60.91 351.35 0.1250 1.8892
39.34 311.41 0.2941 1.8345
49.81 275.30 0.2667 2.6271
78.95 455.94 0.3750 1.5514
85.37 274.28 0.1538 2.0425
38.33 301.77 0.1176 2.0607
47.36 357.50 0.5238 2.0272
58.64 375.65 0.4286 1.8257
63.07 349.44 0.7647 1.2687
66.92 390.44 0.3158 1.6281
47.56 313.40 0.3158 2.1049
41.57 294.37 0.5625 1.6333
89.43 399.49 0.4091 2.2551
68.54 298.09 0.0909 2.6108
66.81 377.49 0.4091 1.4263
56.59 385.51 0.5455 1.6557
66.48 438.95 0.3810 1.8588
66.24 261.28 0.3077 2.6214
85.84 445.98 0.4286 1.2638
57.93 359.88 0.2105 2.4218
58.64 290.36 0.5000 1.8963
50.80 354.45 0.3810 1.7088
55.13 432.93 0.0833 1.3933
84.30 315.38 0.4375 1.5577
117.77 390.39 0.1111 2.1362
63.24 429.90 0.1154 1.5693
81.07 423.48 0.0800 1.4660
62.32 471.99 0.4400 1.3373
58.20 320.39 0.2000 1.6989
57.94 287.32 0.0000 1.7328
101.30 417.87 0.0526 1.6512
35.50 358.55 0.6667 1.5831
81.42 372.49 0.4000 1.9615
51.22 386.50 0.3600 1.4041
52.23 320.48 0.7778 1.8644
49.41 336.44 0.3333 1.5134
99.93 352.40 0.3333 1.3989
30.49 285.39 0.3333 2.1742
100.21 490.97 0.2727 1.8031
75.48 313.36 0.2353 2.0611
94.64 277.31 0.0000 2.1868
118.41 478.56 0.3214 1.7566
93.90 435.48 0.2917 1.5191
58.20 314.31 0.4667 1.7037
79.04 342.44 0.4737 1.8178
56.15 327.25 0.6667 2.4327
29.10 251.40 0.5000 2.3021
41.13 344.43 0.0769 1.8893
58.64 322.43 0.6250 1.9344
48.47 358.87 0.3684 1.5109
49.17 439.49 0.1304 1.7659
75.71 424.52 0.1739 1.6255
41.57 262.35 0.5333 1.7809
43.60 334.81 0.1333 1.8143
66.40 275.28 0.3333 1.7782
63.91 381.87 0.3000 1.5341
76.14 420.95 0.1667 1.4997
113.64 415.40 0.0870 1.8592
72.68 372.43 0.0588 1.8837
85.89 440.52 0.2609 1.9498
55.40 305.40 0.2500 2.3331
56.79 379.46 0.3478 1.4821
73.24 368.45 0.6316 2.0642
122.60 485.76 0.0714 2.1206
53.09 385.51 0.6364 1.4411
67.17 397.89 0.1000 1.8640
75.71 374.46 0.3158 1.7947
115.61 454.52 0.4000 1.9880
80.04 420.42 0.1053 1.7541
48.03 240.26 0.1429 2.1868
67.87 382.46 0.3636 1.6542
99.06 363.42 0.2381 2.0671
58.64 352.48 0.3750 1.6795
64.17 481.00 0.4231 1.2878
59.52 314.38 0.4444 1.7107
122.60 396.45 0.1333 2.0380
57.01 449.96 0.1250 1.7192
86.71 326.40 0.1538 2.2271
57.78 341.41 0.0909 1.5391
114.04 425.51 0.5789 1.6033
90.37 399.25 0.0556 1.7512
60.25 350.42 0.3500 1.7413
85.31 279.26 0.0000 2.0395
45.23 271.36 0.3750 2.0450
38.33 221.30 0.4615 2.5196
25.78 234.30 0.1250 2.1983
59.08 372.45 0.3684 1.5603
46.17 335.73 0.0769 2.4534
68.34 415.56 0.4091 1.8903
64.63 416.69 0.2222 1.8253
67.97 277.32 0.5000 2.1490
49.24 286.36 0.1333 1.8053
70.15 497.67 0.2759 1.0647
73.86 347.39 0.2941 1.9045
84.50 442.56 0.1364 1.6957
89.11 379.24 0.1429 2.0358
52.08 380.44 0.2353 1.7227
55.40 405.52 0.2500 1.5896
71.34 284.31 0.1250 1.9145
60.70 303.36 0.3529 1.9216
96.53 403.44 0.0870 1.6540
73.84 369.42 0.2857 1.5660
55.17 234.30 0.5385 1.8915
102.01 478.53 0.2000 1.5000
94.17 426.47 0.4348 1.9856
74.25 388.48 0.2727 1.3594
61.46 354.45 0.5000 1.4726
76.15 356.44 0.5625 2.0896
36.69 370.47 0.5000 1.4279
70.23 337.42 0.3000 1.7203
84.48 322.32 0.0000 1.5601
89.98 481.50 0.2414 1.5406
102.49 477.44 0.3636 1.4730
21.59 275.35 0.1053 2.0279
67.27 356.45 0.4118 1.4185
41.46 413.34 0.1000 1.5053
26.63 469.42 0.4400 1.5678
114.18 332.34 0.0714 2.0856
59.29 342.40 0.0952 1.7722
110.97 487.51 0.3333 1.1843
64.63 321.40 0.2500 1.9071
55.13 224.17 0.0000 2.2760
78.91 456.56 0.3333 1.8048
41.57 296.80 0.5333 2.1230
68.88 360.44 0.1000 1.6896
75.27 296.39 0.5000 2.0091
62.55 268.27 0.0667 1.9283
